Designator,Mid X,Mid Y,Layer,Rotation
C1,101.193600mm,-95.453200mm,Top,180
C2,109.982000mm,-93.726000mm,Top,180
C3,107.442000mm,-101.092000mm,Top,270
C4,104.140000mm,-92.710000mm,Top,90
C5,119.634000mm,-100.217000mm,Top,90
C6,119.634000mm,-94.629000mm,Top,270
C7,138.938000mm,-99.949000mm,Top,270
C8,136.906000mm,-100.217000mm,Top,270
C9,128.905000mm,-94.629000mm,Top,270
C10,129.907000mm,-101.219000mm,Top,180
C11,140.335000mm,-93.943500mm,Top,270
D1,104.140000mm,-106.426000mm,Top,0
D2,134.747000mm,-106.426000mm,Top,0
D3,111.633000mm,-106.934000mm,Top,0
D4,111.633000mm,-108.712000mm,Top,0
F1,101.193600mm,-96.977200mm,Top,0
F2,142.367000mm,-94.347000mm,Top,270
F3,144.004000mm,-90.932000mm,Top,0
FB1,105.156000mm,-96.520000mm,Top,180
R1,104.140000mm,-104.775000mm,Top,180
R2,134.747000mm,-104.775000mm,Top,180
R3,115.175000mm,-106.934000mm,Top,180
R4,115.175000mm,-108.712000mm,Top,180
R5,113.919000mm,-93.726000mm,Top,0
R6,129.907000mm,-98.806000mm,Top,180
R7,129.907000mm,-104.521000mm,Top,180
R8,129.907000mm,-102.870000mm,Top,180
R9,129.907000mm,-97.155000mm,Top,180
U1,104.140000mm,-99.695000mm,Top,180
U2,113.030000mm,-100.330000mm,Top,90
U3,124.333000mm,-103.124000mm,Top,270
U4,124.307600mm,-97.409000mm,Top,270
U5,133.223000mm,-100.203000mm,Top,90
U6,135.318500mm,-93.941500mm,Top,90
